_id,RegiUn,Tipo punto monitoreo,Sector,Semana,Fecha,Tipo producto,Producto,MInimo,M*ximo,Promedio
2904,8,Supermercado,Penco,35,2013-08-26T00:00:00,Leche,Leche en Polvo Entera,2569,4490,"3716,71"
2905,8,Supermercado,Talcahuano-HualpÈn,35,2013-08-26T00:00:00,Legumbres,Lentejas 6 mm,985,1980,"1546,79"
2906,8,Supermercado,ConcepciÛn,35,2013-08-26T00:00:00,Legumbres,Lentejas 6 mm,985,1875,"1514,81"
2907,8,Supermercado,Chiguayante,35,2013-08-26T00:00:00,Legumbres,Lentejas 6 mm,950,1885,1475
2908,8,Supermercado,Penco,35,2013-08-26T00:00:00,Legumbres,Lentejas 6 mm,950,1885,1339
2909,8,Supermercado,Talcahuano-HualpÈn,35,2013-08-26T00:00:00,Carne de Bovino CategorÌa V,Lomo Liso,5990,7499,"6744,5"
2910,8,Supermercado,ConcepciÛn,35,2013-08-26T00:00:00,Carne de Bovino CategorÌa V,Lomo Liso,5990,9290,"7182,42"
2911,8,Supermercado,Chiguayante,35,2013-08-26T00:00:00,Carne de Bovino CategorÌa V,Lomo Liso,5990,6190,"6056,67"
2912,8,Supermercado,Penco,35,2013-08-26T00:00:00,Carne de Bovino CategorÌa V,Lomo Liso,5990,9500,7160
2913,8,Supermercado,Talcahuano-HualpÈn,35,2013-08-26T00:00:00,Carne de Bovino CategorÌa V,Lomo Vetado,6990,7999,"7717,2"
2914,8,Supermercado,ConcepciÛn,35,2013-08-26T00:00:00,Carne de Bovino CategorÌa V,Lomo Vetado,6990,8790,"7782,7"
2915,8,Supermercado,Chiguayante,35,2013-08-26T00:00:00,Carne de Bovino CategorÌa V,Lomo Vetado,6190,7999,"7094,5"
2916,8,Supermercado,Penco,35,2013-08-26T00:00:00,Carne de Bovino CategorÌa V,Lomo Vetado,7999,9500,"8749,5"
2917,8,Supermercado,Talcahuano-HualpÈn,35,2013-08-26T00:00:00,Mantequilla,Mantequilla,1049,1369,"1201,62"
2918,8,Supermercado,ConcepciÛn,35,2013-08-26T00:00:00,Mantequilla,Mantequilla,999,1319,"1187,15"
2919,8,Supermercado,Chiguayante,35,2013-08-26T00:00:00,Mantequilla,Mantequilla,970,1269,"1116,57"
2920,8,Supermercado,Penco,35,2013-08-26T00:00:00,Mantequilla,Mantequilla,970,1259,"1109,71"
2921,8,Supermercado,Talcahuano-HualpÈn,35,2013-08-26T00:00:00,Aceite,Maravilla,1209,1649,"1459,57"
2922,8,Supermercado,ConcepciÛn,35,2013-08-26T00:00:00,Aceite,Maravilla,1169,1649,"1467,87"
2923,8,Supermercado,Chiguayante,35,2013-08-26T00:00:00,Aceite,Maravilla,1190,1649,1447
2924,8,Supermercado,Penco,35,2013-08-26T00:00:00,Aceite,Maravilla,1190,1590,"1429,83"
2925,8,Supermercado,Talcahuano-HualpÈn,35,2013-08-26T00:00:00,Margarina,Margarina,850,1329,"1142,89"
2926,8,Supermercado,ConcepciÛn,35,2013-08-26T00:00:00,Margarina,Margarina,699,1299,"1114,46"
2927,8,Supermercado,Chiguayante,35,2013-08-26T00:00:00,Margarina,Margarina,919,1249,"1105,63"
2928,8,Supermercado,Penco,35,2013-08-26T00:00:00,Margarina,Margarina,930,1299,1133
2929,8,Supermercado,Talcahuano-HualpÈn,35,2013-08-26T00:00:00,Pan,Marraqueta,898,978,"948,43"
2930,8,Supermercado,ConcepciÛn,35,2013-08-26T00:00:00,Pan,Marraqueta,948,1189,"1027,31"
2931,8,Supermercado,Chiguayante,35,2013-08-26T00:00:00,Pan,Marraqueta,890,1049,"962,33"
2932,8,Supermercado,Penco,35,2013-08-26T00:00:00,Pan,Marraqueta,890,950,"929,33"
2933,8,Supermercado,Talcahuano-HualpÈn,35,2013-08-26T00:00:00,"Carne de Pollo, Cerdo y Pavo",Pavo Pechuga†s/hueso,4399,4399,4399
2934,8,Supermercado,ConcepciÛn,35,2013-08-26T00:00:00,"Carne de Pollo, Cerdo y Pavo",Pavo Pechuga†s/hueso,3990,4490,4293
2935,8,Supermercado,Talcahuano-HualpÈn,35,2013-08-26T00:00:00,"Carne de Pollo, Cerdo y Pavo",Pavo Trutro Corto,1990,3469,"2729,5"
2936,8,Supermercado,ConcepciÛn,35,2013-08-26T00:00:00,"Carne de Pollo, Cerdo y Pavo",Pavo Trutro Corto,2290,3469,"2778,67"
2937,8,Supermercado,Chiguayante,35,2013-08-26T00:00:00,"Carne de Pollo, Cerdo y Pavo",Pavo Trutro Corto,2190,2899,"2544,5"
2938,8,Supermercado,Talcahuano-HualpÈn,35,2013-08-26T00:00:00,"Carne de Pollo, Cerdo y Pavo",Pollo Entero,1390,1790,1630
2939,8,Supermercado,ConcepciÛn,35,2013-08-26T00:00:00,"Carne de Pollo, Cerdo y Pavo",Pollo Entero,1390,1690,"1634,44"
